epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.824,1.22571,2.1081,1.45196,0.51699,0.59253,0.50876,0.2546,1.16675,2.1618,1.55097,0.000654088,0.000654088,0.000654088
2,344.36,1.33657,1.64947,1.50484,0.49285,0.5625,0.51797,0.27211,1.42623,1.99069,1.96416,0.00125538,0.00125538,0.00125538
3,521.425,1.47555,1.66065,1.57283,0.22378,0.375,0.1835,0.07176,1.9553,4.18602,2.24171,0.00179067,0.00179067,0.00179067
4,694.398,1.43538,1.57512,1.53999,0.52257,0.65179,0.57361,0.29812,1.60992,1.81853,2.0731,0.001703,0.001703,0.001703
5,868.611,1.41612,1.52226,1.54361,0.66096,0.62665,0.55958,0.28891,1.4934,1.95238,1.87892,0.001604,0.001604,0.001604
6,1034.95,1.35094,1.42121,1.50212,0.77384,0.64158,0.71775,0.42828,1.19,1.37021,1.51928,0.001505,0.001505,0.001505
7,1194.13,1.31827,1.34751,1.45343,0.80943,0.6875,0.77599,0.45512,1.41249,1.54357,1.77626,0.001406,0.001406,0.001406
8,3886.61,1.28805,1.28487,1.43867,0.86584,0.69152,0.7745,0.51732,1.00759,0.95482,1.33214,0.001307,0.001307,0.001307
9,4083.16,1.23242,1.21945,1.40439,0.85383,0.78236,0.82979,0.55486,1.05071,0.98871,1.36538,0.001208,0.001208,0.001208
10,4272.2,1.20792,1.15473,1.38572,0.85596,0.84897,0.86493,0.62764,0.89628,0.79076,1.19815,0.001109,0.001109,0.001109
11,4436.09,1.00382,0.96866,1.31297,0.8247,0.79808,0.81779,0.52688,1.04793,0.94403,1.31973,0.00101,0.00101,0.00101
12,4599.82,0.95145,0.84951,1.26945,0.87174,0.84821,0.88716,0.63692,0.85936,0.765,1.19745,0.000911,0.000911,0.000911
13,4763.23,0.94018,0.77434,1.26454,0.84658,0.83759,0.86357,0.61122,1.00844,0.77986,1.27748,0.000812,0.000812,0.000812
14,4924.54,0.92157,0.78752,1.23906,0.86872,0.83929,0.86096,0.61299,0.89227,0.7704,1.2047,0.000713,0.000713,0.000713
15,5062.01,0.86586,0.71673,1.22,0.88617,0.83415,0.88714,0.66771,0.73125,0.62133,1.13185,0.000614,0.000614,0.000614
16,5199.25,0.81805,0.65994,1.18311,0.93354,0.87798,0.90069,0.70893,0.68028,0.58931,1.07224,0.000515,0.000515,0.000515
17,6617.48,0.78919,0.63584,1.14721,0.90616,0.86219,0.89857,0.70535,0.70447,0.55525,1.07763,0.000416,0.000416,0.000416
18,6786.6,0.76964,0.59656,1.13893,0.92729,0.83929,0.89366,0.71907,0.64675,0.52786,1.0302,0.000317,0.000317,0.000317
19,6952.89,0.75884,0.59554,1.12229,0.9598,0.85278,0.89964,0.71731,0.65605,0.52939,1.06136,0.000218,0.000218,0.000218
20,7110.88,0.70436,0.55367,1.10613,0.96976,0.86607,0.90893,0.72022,0.65889,0.49445,1.05691,0.000119,0.000119,0.000119
